date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:59	40247/40247	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202023%2014:40:42%20GMT	https://askbootstrap.com/preview/foodmart/index.html	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/index.html	(from )
15:48:59	117/117	---MCZ	200	added ('OK')	text/plain	etag:W/%22b9-5ba20d59-f0eb6e7a18f2d3a6;;;%22	https://askbootstrap.com/robots.txt		(from )
15:48:59	31773/31773	---M--	200	added ('OK')	image/png	etag:%227c1d-63ce9c6f-ba9434fdfc62d951;;;%22	https://askbootstrap.com/preview/foodmart/img/logo.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/logo.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:48:59	220780/220780	---M-Z	200	added ('OK')	text/css	etag:%2235e6c-63ce9c77-9d10223e8b4dd9e;gz%22	https://askbootstrap.com/preview/foodmart/vender/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/vender/bootstrap/css/bootstrap.min.css	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:00	92208/92208	---M-Z	200	added ('OK')	text/css	etag:%2216830-63ce9c71-5fdba39d89a7dcf1;gz%22	https://askbootstrap.com/preview/foodmart/vender/icofont/icofont.min.css	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/vender/icofont/icofont.min.css	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:00	485/485	---M--	200	added ('OK')	text/css	etag:%226f0-63ce9c7b-7334fe0d4acc7e90;br%22	https://askbootstrap.com/preview/foodmart/vender/slick/slick/slick.css	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/vender/slick/slick/slick.css	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:00	754/754	---M--	200	added ('OK')	text/css	etag:%22c49-63ce9c7b-da9c9b4d3409a0e4;br%22	https://askbootstrap.com/preview/foodmart/vender/slick/slick/slick-theme.css	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/vender/slick/slick/slick-theme.css	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:00	19393/19393	---MCZ	200	added ('OK')	text/css	etag:W/%22564e-63ce9c70-5dd51d110a2296a5;gz%22	https://askbootstrap.com/preview/foodmart/vender/sidebar/demo.css	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/vender/sidebar/demo.css	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:01	4841/4841	---MCZ	200	added ('OK')	text/css	etag:W/%221b0e-63ce9c6b-71ece94a76f544ba;gz%22	https://askbootstrap.com/preview/foodmart/css/style.css	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/css/style.css	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:01	14201/14201	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202023%2014:40:42%20GMT	https://askbootstrap.com/preview/foodmart/profile.html	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/profile.html	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:01	44781/44781	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202023%2014:40:42%20GMT	https://askbootstrap.com/preview/foodmart/listing.html	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/listing.html	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:02	51373/51373	---M--	200	added ('OK')	image/png	etag:%22c8ad-63ce9c6c-26f12685d0ed35f0;;;%22	https://askbootstrap.com/preview/foodmart/img/category-1.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-1.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:02	39492/39492	---M--	200	added ('OK')	image/png	etag:%229a44-63ce9c6c-9ffea483d1488b53;;;%22	https://askbootstrap.com/preview/foodmart/img/category-2.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-2.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:02	40470/40470	---M--	200	added ('OK')	image/png	etag:%229e16-63ce9c6c-9da6ee2b9e383637;;;%22	https://askbootstrap.com/preview/foodmart/img/category-3.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-3.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:03	34923/34923	---M--	200	added ('OK')	image/png	etag:%22886b-63ce9c6c-e2cd6d351272d89;;;%22	https://askbootstrap.com/preview/foodmart/img/category-4.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-4.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:03	39368/39368	---M--	200	added ('OK')	image/png	etag:%2299c8-63ce9c6d-2a131b3d7071ea02;;;%22	https://askbootstrap.com/preview/foodmart/img/category-5.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-5.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:03	50110/50110	---M--	200	added ('OK')	image/png	etag:%22c3be-63ce9c6d-9f62154e60b23dfb;;;%22	https://askbootstrap.com/preview/foodmart/img/category-6.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-6.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:04	46855/46855	---M--	200	added ('OK')	image/png	etag:%22b707-63ce9c6d-e0c50f2e9b060116;;;%22	https://askbootstrap.com/preview/foodmart/img/category-7.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-7.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:04	38192/38192	---M--	200	added ('OK')	image/png	etag:%229530-63ce9c6f-1c3e72b2cc647976;;;%22	https://askbootstrap.com/preview/foodmart/img/category-8.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-8.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:04	33835/33835	---M--	200	added ('OK')	image/png	etag:%22842b-63ce9c6f-78a8141c096fe912;;;%22	https://askbootstrap.com/preview/foodmart/img/category-9.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-9.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:04	41544/41544	---M--	200	added ('OK')	image/png	etag:%22a248-63ce9c6e-a319e38b8605e6ea;;;%22	https://askbootstrap.com/preview/foodmart/img/category-10.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-10.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:05	42326/42326	---M--	200	added ('OK')	image/png	etag:%22a556-63ce9c6e-896b088573bc62c5;;;%22	https://askbootstrap.com/preview/foodmart/img/category-11.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-11.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:05	36839/36839	---M--	200	added ('OK')	image/png	etag:%228fe7-63ce9c6f-a8631dc61b30e54f;;;%22	https://askbootstrap.com/preview/foodmart/img/category-12.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-12.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:06	41353/41353	---M--	200	added ('OK')	image/png	etag:%22a189-63ce9c6f-d0cd39716f315db1;;;%22	https://askbootstrap.com/preview/foodmart/img/category-13.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-13.png	(from https://askbootstrap.com/preview/foodmart/index.html)
15:49:06	33858/33858	---M--	200	added ('OK')	image/png	etag:%228442-63ce9c6f-3dbfb10291427875;;;%22	https://askbootstrap.com/preview/foodmart/img/category-14.png	C:/My%20Web%20Sites/grocery1/askbootstrap.com/preview/foodmart/img/category-14.png	(from https://askbootstrap.com/preview/foodmart/index.html)
